,date,p_change,pred,pred_result
183,2021-08-02,1.21,2,0
184,2021-08-03,1.44,2,0
185,2021-08-04,-0.71,2,1
186,2021-08-05,-0.24,2,1
187,2021-08-06,-0.72,2,1
188,2021-08-09,1.44,2,0
189,2021-08-10,-0.71,2,1
190,2021-08-11,1.19,2,0
191,2021-08-12,0.24,2,0
192,2021-08-13,-0.47,2,1
193,2021-08-16,-0.24,2,1
194,2021-08-17,-1.42,2,1
195,2021-08-18,0.72,2,0
196,2021-08-19,3.34,2,0
197,2021-08-20,-3.46,2,1
198,2021-08-23,-0.96,2,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
