,date,p_change,pred
191,2019-12-04,-1.96,2.0
192,2019-12-05,1.27,2.0
193,2019-12-06,1.25,2.0
194,2019-12-09,0.18,2.0
195,2019-12-10,0.0,2.0
196,2019-12-11,0.71,2.0
197,2019-12-12,-0.88,2.0
198,2019-12-13,1.59,2.0
199,2019-12-16,1.39,2.0
200,2019-12-17,1.03,2.0
201,2019-12-18,-0.68,2.0
202,2019-12-19,0.69,2.0
203,2019-12-20,0.0,2.0
204,2019-12-23,-1.36,2.0
205,2019-12-24,0.0,2.0
206,2019-12-25,0.34,2.0
207,2019-12-26,0.17,2.0
208,2019-12-27,-0.86,2.0
209,2019-12-30,1.9,2.0
210,2019-12-31,0.0,2.0
211,2020-01-02,2.55,2.0
212,2020-01-03,0.0,2.0
213,2020-01-06,-0.33,2.0
214,2020-01-07,0.0,2.0
215,2020-01-08,-1.66,2.0
216,2020-01-09,0.51,2.0
217,2020-01-10,-0.67,2.0
218,2020-01-13,0.0,2.0
219,2020-01-14,4.57,2.0
220,2020-01-15,-0.97,2.0
221,2020-01-16,-1.63,2.0
222,2020-01-17,-0.83,2.0
223,2020-01-20,1.51,2.0
224,2020-01-21,-2.31,2.0
225,2020-01-22,-0.68,2.0
226,2020-01-23,-3.91,2.0
227,2020-02-03,-9.91,2.0
228,2020-02-04,1.77,2.0
229,2020-02-05,0.58,2.0
230,2020-02-06,3.26,2.0
231,2020-02-07,-0.56,2.0
232,2020-02-10,0.94,2.0
233,2020-02-11,-0.37,4.0
234,2020-02-12,0.56,4.0
235,2020-02-13,-0.92,4.0
236,2020-02-14,0.0,4.0
237,2020-02-17,3.36,4.0
238,2020-02-18,-0.18,4.0
239,2020-02-19,-0.72,4.0
240,2020-02-20,1.64,4.0
241,2020-02-21,0.9,4.0
242,2020-02-24,4.8,4.0
243,2020-02-25,-1.7,4.0
244,2020-02-26,1.55,4.0
245,2020-02-27,-2.38,4.0
246,2020-02-28,-4.7,4.0
247,2020-03-02,4.01,4.0
248,2020-03-03,0.17,4.0
249,2020-03-04,-0.53,4.0
250,2020-03-05,2.64,4.0
251,2020-03-06,-1.89,4.0
252,2020-03-09,-1.4,4.0
253,2020-03-10,2.31,4.0
254,2020-03-11,-1.73,4.0
255,2020-03-12,-1.76,4.0
256,2020-03-13,-1.62,4.0
257,2020-03-16,-3.1,4.0
258,2020-03-17,0.38,4.0
259,2020-03-18,-2.44,4.0
260,2020-03-19,-0.19,4.0
261,2020-03-20,1.93,2.0
262,2020-03-23,-2.65,2.0
263,2020-03-24,3.11,2.0
264,2020-03-25,0.94,2.0
265,2020-03-26,-1.49,2.0
266,2020-03-27,-0.38,2.0
267,2020-03-30,0.19,2.0
268,2020-03-31,-0.95,4.0
269,2020-04-01,-0.38,4.0
270,2020-04-02,0.96,4.0
271,2020-04-03,0.19,4.0
272,2020-04-07,2.66,2.0
273,2020-04-08,-1.11,2.0
274,2020-04-09,3.37,2.0
275,2020-04-10,-2.54,2.0
276,2020-04-13,-0.37,2.0
277,2020-04-14,0.93,2.0
278,2020-04-15,-1.66,2.0
279,2020-04-16,-0.56,2.0
280,2020-04-17,0.0,2.0
281,2020-04-20,0.57,2.0
282,2020-04-21,-0.75,2.0
283,2020-04-22,0.19,2.0
284,2020-04-23,-0.94,2.0
285,2020-04-24,-1.15,2.0
286,2020-04-27,0.0,2.0
287,2020-04-28,-1.16,2.0
288,2020-04-29,0.39,3.0
289,2020-04-30,1.56,3.0
290,2020-05-06,0.57,3.0
291,2020-05-07,-0.76,3.0
292,2020-05-08,0.58,2.0
293,2020-05-11,-0.19,2.0
294,2020-05-12,-0.57,2.0
295,2020-05-13,-0.58,2.0
296,2020-05-14,-0.77,2.0
297,2020-05-15,0.0,2.0
298,2020-05-18,0.58,2.0
299,2020-05-19,-0.19,2.0
300,2020-05-20,-0.58,2.0
301,2020-05-21,0.0,2.0
302,2020-05-22,-1.17,2.0
303,2020-05-25,-0.59,2.0
304,2020-05-26,0.0,2.0
305,2020-05-27,-0.8,2.0
306,2020-05-28,-0.2,2.0
307,2020-05-29,-0.4,2.0
308,2020-06-01,1.61,2.0
309,2020-06-02,0.99,2.0
310,2020-06-03,-0.79,2.0
311,2020-06-04,-0.2,2.0
312,2020-06-05,0.0,2.0
313,2020-06-08,0.2,2.0
314,2020-06-09,0.0,2.0
315,2020-06-10,-0.99,2.0
316,2020-06-11,-0.6,2.0
317,2020-06-12,-1.01,2.0
318,2020-06-15,-1.22,2.0
319,2020-06-16,1.03,2.0
320,2020-06-17,-0.61,2.0
321,2020-06-18,0.41,2.0
322,2020-06-19,0.41,2.0
323,2020-06-22,1.63,2.0
324,2020-06-23,-0.8,2.0
325,2020-06-24,-0.61,2.0
326,2020-06-29,-0.82,2.0
327,2020-06-30,0.21,2.0
328,2020-07-01,1.24,2.0
329,2020-07-02,2.25,2.0
330,2020-07-03,1.4,2.0
331,2020-07-06,5.71,2.0
332,2020-07-07,-1.68,2.0
333,2020-07-08,1.33,2.0
334,2020-07-09,0.19,2.0
335,2020-07-10,-3.17,2.0
336,2020-07-13,2.12,2.0
337,2020-07-14,7.36,2.0
338,2020-07-15,-5.8,2.0
339,2020-07-16,-3.73,2.0
340,2020-07-17,-0.19,0.0
341,2020-07-20,2.91,0.0
342,2020-07-21,-0.76,0.0
343,2020-07-22,-0.38,0.0
344,2020-07-23,0.0,0.0
345,2020-07-24,-2.67,0.0
346,2020-07-27,-0.59,0.0
347,2020-07-28,0.2,0.0
348,2020-07-29,1.38,0.0
349,2020-07-30,-1.17,0.0
350,2020-07-31,-0.2,0.0
351,2020-08-03,1.77,5.0
352,2020-08-04,0.0,5.0
353,2020-08-05,-0.97,5.0
354,2020-08-06,-0.39,5.0
355,2020-08-07,-1.37,2.0
356,2020-08-10,1.39,2.0
357,2020-08-11,-0.78,2.0
358,2020-08-12,0.79,2.0
359,2020-08-13,4.12,2.0
360,2020-08-14,0.19,2.0
361,2020-08-17,0.38,2.0
362,2020-08-18,1.5,2.0
363,2020-08-19,-0.55,2.0
364,2020-08-20,-1.48,2.0
365,2020-08-21,0.75,5.0
366,2020-08-24,-0.94,0.0
367,2020-08-25,-1.32,0.0
368,2020-08-26,0.38,0.0
369,2020-08-27,-0.95,0.0
370,2020-08-28,0.39,0.0
371,2020-08-31,-0.57,0.0
372,2020-09-01,-0.39,0.0
373,2020-09-02,-0.77,0.0
374,2020-09-03,-0.2,0.0
375,2020-09-04,-0.59,0.0
376,2020-09-07,-0.59,0.0
377,2020-09-08,1.19,5.0
378,2020-09-09,-0.78,5.0
379,2020-09-10,-0.79,5.0
380,2020-09-11,-0.2,5.0
381,2020-09-14,0.6,2.0
382,2020-09-15,-0.59,2.0
383,2020-09-16,0.0,2.0
384,2020-09-17,-0.4,2.0
385,2020-09-18,1.8,2.0
386,2020-09-21,-0.78,2.0
387,2020-09-22,-0.79,2.0
388,2020-09-23,-0.2,2.0
389,2020-09-24,-1.8,2.0
390,2020-09-25,-0.2,2.0
391,2020-09-28,-1.02,2.0
392,2020-09-29,0.0,2.0
393,2020-09-30,-0.21,2.0
394,2020-10-09,1.44,2.0
395,2020-10-12,1.63,2.0
396,2020-10-13,-0.6,2.0
397,2020-10-14,0.0,2.0
398,2020-10-15,-1.01,2.0
399,2020-10-16,0.2,2.0
400,2020-10-19,0.0,2.0
401,2020-10-20,0.41,2.0
402,2020-10-21,2.83,2.0
403,2020-10-22,-2.75,2.0
404,2020-10-23,-0.61,2.0
405,2020-10-26,0.0,2.0
406,2020-10-27,-0.61,2.0
407,2020-10-28,-0.82,2.0
408,2020-10-29,-0.41,2.0
409,2020-10-30,-1.24,2.0
410,2020-11-02,-1.26,2.0
411,2020-11-03,2.33,2.0
412,2020-11-04,-0.83,2.0
413,2020-11-05,1.88,2.0
414,2020-11-06,0.2,2.0
415,2020-11-09,1.02,2.0
416,2020-11-10,-1.22,2.0
417,2020-11-11,1.03,2.0
418,2020-11-12,-1.42,2.0
419,2020-11-13,-1.44,2.0
420,2020-11-16,0.63,2.0
421,2020-11-17,0.42,2.0
422,2020-11-18,0.0,2.0
423,2020-11-19,-0.21,2.0
424,2020-11-20,-0.21,2.0
425,2020-11-23,1.46,2.0
426,2020-11-24,0.0,2.0
427,2020-11-25,0.0,2.0
428,2020-11-26,0.41,2.0
429,2020-11-27,0.41,2.0
430,2020-11-30,-0.41,2.0
431,2020-12-01,1.02,2.0
432,2020-12-02,-0.61,2.0
433,2020-12-03,-1.02,2.0
434,2020-12-04,-0.82,2.0
435,2020-12-07,-1.03,2.0
436,2020-12-08,0.21,2.0
437,2020-12-09,-0.83,2.0
438,2020-12-10,-1.05,2.0
439,2020-12-11,-0.64,2.0
440,2020-12-14,-0.21,2.0
441,2020-12-15,-0.43,2.0
442,2020-12-16,-0.43,2.0
443,2020-12-17,0.65,2.0
444,2020-12-18,0.86,2.0
445,2020-12-21,-1.07,2.0
446,2020-12-22,-2.15,2.0
447,2020-12-23,-0.66,2.0
448,2020-12-24,-1.33,2.0
449,2020-12-25,0.9,2.0
450,2020-12-28,0.22,2.0
451,2020-12-29,-0.22,2.0
452,2020-12-30,-0.89,2.0
453,2020-12-31,0.23,2.0
454,2021-01-04,-2.92,2.0
455,2021-01-05,-0.92,2.0
456,2021-01-06,2.33,2.0
457,2021-01-07,-2.51,3.0
458,2021-01-08,0.47,3.0
